Name,Lat,Ing
Ann Hand,38.90579899999999,-77.06434
Blue Mercury,38.8975799,-77.0061578
Blue Mercury,38.9098122,-77.0330623
Blue Mercury,38.9117574,-77.0442913
Blue Mercury,38.9052758,-77.0405396
Blue Mercury,38.905372,-77.06060459999999
Blue Mercury,38.9029167,-77.0633838
Blue Mercury,38.8882324,-77.09255569999999
Blue Mercury,38.9340983,-77.0724413
Buffalo & Bergen,38.9086077,-76.99737950000001
Centrolina,38.9002695,-77.0255203
